street_name,crime_number,load_shedding_status
FALSTAFF,6,0
DORIC,11,1
AMYTHEST,4,0
HALITE,7,1
CRYSTAL,3,0
ELWYN,1,0
LELIEVELD,13,0
RUTVALE,8,0
FLEUR,7,0
INNISFREE,4,1
ACTIVE,11,0
FLAT,12,1
DORING,4,0
JOHNSTON,7,0
STEMMET,6,0
RAFT,10,1
KONTIKI,10,0
KRIEKET,7,0
SALTIRE,13,0
UNITY,8,1
PORT JACKSON,4,1
COVENDON,6,0
BARHAM,13,1
ROLEN,2,0
HEATHERDALE,11,0
ALDERSGATE,1,0
DUINE,5,0
COLLEGE SERVICE,11,0
HADJI EBRAHIM,3,0
FLAVIA,7,0
EL,12,0
PLETTENBERG,4,0
MURTON,1,0
CARNIE,10,0
ERNEST,2,0
TUSSEN,1,0
MAVIS,7,0
RUTH,1,0
HAZEL,4,0
HIMALAYA,6,1
POOKE,3,0
HIMALAYA ,11,1
KISMET,2,0
JERAM,4,0
BODAU,4,0
CISSY GOOL,3,1
KHALFE,2,0
PLIMPLOL,12,0
DEVI,7,0
BODALI,13,0
ASHRAF,1,0
RAMOLA,13,0
KANTI,13,0
MAHATMA GANDHI,7,0
NEHRU,9,0
NOLL,1,0
SHAANTI,8,0
YUSUF GOOL,11,1
BALU PARKER,6,0
CLINIC,8,0
MISILTOE ,10,1
ANTHONY,2,0
LINARIA,13,0
SNAPDRAGON,12,0
DELPHIUM,1,0
LUKWART,9,0
APPLEDENE,4,0
GERANIUM,12,1
OLYMPIC ,12,0
BONGO,8,0
BLOSSEM,5,0
DURANT,13,0
BLOSOM,1,0
COLWYN,5,0
RAINBOW,11,1
ADDAX,7,0
PRUIM KRING,12,0
SONDOU,4,0
LELIEBLOM,5,0
OVERTON,3,1
TEMPLE,10,0
8TH,0,0
7TH,10,0
6TH,10,0
5TH,3,1
4TH,8,0
3RD,7,0
SALAAM,2,1
DUNSTER,10,1
ADVENTIS,12,1
MARTIN LUTHER,3,0
CALENDULA,10,0
ZINNIA,6,0
CLOVER,3,0
HICKORY,2,0
LARKSPUR,10,0
GOEDE SQUARE 2,10,0
STATICE,5,0
LILAC,5,0
MARATHON,9,0
BRESTON,5,0
LEMOEN,4,0
NORMA,7,0
PONCHO,3,1
FINDON,4,0
GREINHOUT,6,0
ST CYR,6,0
KAYTER,7,1
ROSSAL,2,1
CASHEL,8,0
NEVIN,3,0
BANGOR,1,1
TEMBE,4,0
HEIFER,5,0
LONGHORN,3,0
BLENDE,12,0
MOHAN,3,0
NYALA,13,0
DASSENBERG,5,0
DAIMLER-BENZ,5,0
NEIL HARE,5,1
GIDEON BASSON,2,0
TOM BRINK,5,0
JAN MICHAU,4,0
HILLARY,2,0
WILLIAM GOURLAY,3,1
CHARLES MATTHEWS,2,0
CHAREL UYS,4,0
DE KORTE,3,0
JOHN VAN NIEKERK,4,1
NORMAN MURRAY,1,0
GERWYN OWEN,4,0
IVAN HAMPSHIRE,0,0
CHARLES PIERS,2,0
PERKINS,5,0
MARIUS DE WAAL,0,0
PETRUS GROBBELAAR,1,0
JOHAN HEYNS,3,0
HARRY ALEXANDER,4,0
JOHN DREYER,5,0
CHRISTOPHER STARKE,4,1
DAVID CLOETE,4,0
THINA,4,0
NTHETHE,2,0
NQANQARHU,2,0
NGCONGOLO,1,0
NTSINDE,2,1
MBHONGISA,1,0
TOLOFIYA,3,1
FIYA,2,0
MTHATI,4,0
MTHATHI,4,0
DWYABASI,3,0
MNQUMA,0,0
SUNDU,1,0
DANSMYM,4,1
NYIBILKA,1,0
TSITSA,2,0
MBESHE,3,1
BHABHATANE,5,0
UMTHATHA,3,0
IGQILI,2,0
XUKA,1,0
XOKONXA,0,0
THOKWANE,1,0
NGANDANE,1,1
NCORHA,1,0
MZIMVUBU,1,0
SAMORA MACHAL,3,0
LUZI,5,0
NCIBA,2,0
LEBO MATHUSA,3,0
STEVE TSHWETE,6,0
HECTOR PETERSON,1,0
MATHEW GONIWE,1,0
NTLOLOKOTSHANE,0,0
SIPINGO,2,0
MGXAM,4,0
KWEPILE,3,0
DILIYA,2,0
MNAMA,5,0
MOKI,1,1
MNGCUNUBE,4,0
MNGA,3,0
MGWENYE,3,1
R304,0,0
NTAKA,6,1
THAMBO,0,0
MVUBA,2,1
QWARHASHE,2,1
KATI,3,0
NDLULAMTHI,2,0
NCINIBA,3,0
SITSIBA BOKHWE,4,0
UKHOZI,1,0
MPANGELE,1,0
KHETSHE,5,0
PIKOKO,1,1
VAN RIEBEECK ,5,0
NGADA,2,0
NDLOVU,5,0
NGWENYA,3,0
AMARYLLIS,0,0
ADENIUM,5,0
ROOIBORSIE,4,0
ROOIBEKKIE,2,0
PIPPET,5,0
RENOSTERVOEL,2,0
MAHEM,3,0
REYGERSDAL,1,0
KERRIA,3,1
BOTTLE BRUSH,3,0
BIGNONIA,3,0
BAUHINNIA,5,0
BARLERIA,0,0
BALERIA,5,0
BALSAMINE,2,0
ARUNDO,4,0
JOSIAS BLANCKENBERG,0,0
CASTALIS,2,0
DATURA,1,1
AMSTELVEEN,3,0
AMY,3,1
ALBERTO,4,0
ANUBIS,4,0
ADRIATIC,0,0
GALTONIA,1,0
GAZONIA,2,0
ANGELIER,1,0
BERGLELIE,4,0
ROOSMARYN,5,0
NELLY,5,0
MYNA,3,1
LYSTER,3,1
LOVEBIRD,0,0
MELIA,4,0
KALANCHOE,2,0
KOCHIA,3,0
HEATHFIELDS,3,0
LARKS,5,0
BUNTING,3,0
KINGFISHER PARK,4,1
COLY,4,0
BOSSANGER,3,0
HERONS,1,0
GULLHAVEN,4,1
WESFLEUR,4,0
IBOSA,5,0
IRESINE,1,0
PEARL MANSIONS,2,0
METEREN,0,0
MENTOR,1,0
OLDENBURGH,4,1
MEERMIN,2,1
EVE,0,0
GOTHENBURG,3,1
LAKEMAN,0,0
PALMER,1,0
ROZETTE,1,1
NEPTUNES CASTLE,1,0
PARAGON,4,0
ISLAND,4,0
FORTUNE,3,0
LAVINIA,3,0
MERESTEYN,3,1
HANNAH,3,1
DUYNBEEK,3,0
DAGERAAD,1,0
BON AVENTURA,4,0
COTTAGER,4,0
CYBILLE,3,0
CILICIA,2,0
CHANDOS,5,0
BENGAL,2,0
BENTO,6,0
THOMAS WILLIAMS,5,0
CHARLES DUMINY,2,1
TOM HENSHILWOOD,4,1
PIETER VAN ECK,1,0
THOME,2,0
VINCIDOR,2,0
VALLEYFIELD,4,0
MANNA,5,0
HONEY,0,0
DRUIWE,0,0
LANG,3,0
KLINKER,3,1
AFRIKANER,4,1
SAND,4,0
GOEDVERWACHT,2,0
ENON,4,0
GRYSBOK,0,0
CLARKESON,2,0
MORAVIA,5,0
ADAM PICK,2,0
LORD CALEDON,4,0
KORPORASIE,4,0
HARDENBERG,3,0
JAN HUGO KUPPER,6,1
WINCKLER,3,0
VAN AARD,3,0
LORD SOMERSET,2,0
POSKANTOOR,5,0
KAREL JONAS,5,0
LIEDEMAN,1,0
KAAP,1,0
KLAPMUTS,2,1
DENNESINGEL,4,1
FRANS,3,0
LOUWSKLOOF,5,0
CASSIA END,1,0
TOL,2,0
HALLBECK,0,0
KHORHAMER,3,0
AMOS COMENUIS,1,0
ELIM,4,0
BISHOP MARK,4,0
POIET,5,1
P M LOUW,1,0
GENADENDAL,3,0
KUNICK,1,1
ALWYN,1,1
JAKARANDA,3,1
DIAS,1,0
HENNING HUIZEN,2,1
NAPOLEON,2,1
NIEUW,2,0
NIMROD,2,0
MEXICAN,5,0
KEHRWEIDER,4,1
GHIKA,1,0
HOOP,5,0
GOEDEHOOP,4,0
FIGILANTE,2,1
HOOGERGEEST,1,0
HELEN,4,0
STERRESCHANS,0,0
TERNATE,2,0
STABROEK,1,0
ENCHANTRESS,3,0
FERNANDE,4,1
FAME,0,0
BITTERN,4,0
ALACRITY,3,0
ESPIEGLE,5,0
ST LAWRENCE,5,1
ST JOSE,4,0
MATHERAN,5,0
LIVANOS,4,0
MAGNET,5,1
PRINCE RUPERT,4,1
ROYAL SAXON,4,0
SCHUYLENBURG,2,0
SYBILLE,0,0
ROBERT,3,1
ST ANTONIO,5,0
TSITSIKAMA,4,0
WITFONTEIN,1,1
THESEN,1,1
WITENBOS,2,0
BRENTON,4,0
MIDDENRAK,5,0
PINE EAST,2,0
TAUNUS,4,0
LUKASRAND,1,1
CASTLEHILL,1,0
KROMRIVIER,2,0
KUBOSE,5,0
KRANSBOS,1,0
KOLGHA,4,0
KLEINPLAAT,5,0
MONTEZUMA,3,1
KISO,3,0
KARRI,4,0
INSISWA,2,0
IMBEZA,3,0
SHWARTZWALD,1,0
SHASTA,3,0
SILESIA,3,0
REDONDA,4,0
SPARREBOS,5,0
PLATBOS,3,0
EMU,5,0
GOUNA,3,0
GROENKOP,2,0
FREMONT,3,0
DEERLODGE,5,1
GOUDVELD,3,0
GOUKAMMA,4,0
ELK,-1,0
NIESBOS,4,0
RUITERBOS,2,1
RENDLESHAM,1,0
MORGENSON,4,1
LEBANON,2,0
LUBLIN,4,0
ALGERIA,4,0
MALVERN,1,0
ANGLESE,1,1
ALLEGHENY,0,0
BEAVERHEAD,5,0
AKKERENDAM,0,1
CUSTER,2,0
CLEARWATER,4,0
CLIPSTON,4,1
BUFFELSNEK,5,0
CANARA,3,0
CHANDA,2,0
DEWAR,1,0
DWESA,2,0
GILFORD,5,0
FARLEIGH,4,0
EYLAND,5,0
CAWDOR,1,0
CLIPPER,5,0
DORAH,6,0
DIDO,3,0
COURIER,0,1
BELLONA,5,0
BELGOWAN,5,0
CHIEFTAIN,4,0
BRUTUS,1,0
AVENHOORN,5,0
ANNA,0,1
ROYAL GEORGE,4,0
SCHOONBERG,3,0
PESCADORA,1,0
SAMPSON,5,0
DOLLIES CENTRE,3,0
BOKWA,0,1
BOWENIA,0,1
BIGHORN,1,1
BIERVLEI,5,0
AVENTINE,1,0
BERLYN,1,1
BERGPLAATS,1,0
ARDEN,5,0
CAELIAN,5,0
CALTON,2,0
BEEKBERG,3,0
BOXHILL,0,1
BUNKER,2,0
ARDENNES,2,0
CAPITOLINE,1,1
CARMEL,4,0
BLACKDOWN,5,1
FALCONS,2,0
EAGLES NEST,5,0
COURSER,3,0
DARTERS,4,1
CROW,3,0
BABBLERS,5,1
CHAT,4,1
DAGBREKER,1,0
HORNBILL,3,0
HOBBY,2,0
KWIKKIE,1,0
JACONA,4,0
KWARTEL,1,0
LONGTAIL,1,1
SWAWEL,1,0
WIELEWAAL,2,0
TORTELDUIF,1,1
COWIE,3,0
KLIPHEUWEL,2,0
GRAMPIAN,3,1
KANONKOP,1,0
KURUMAN,4,0
KHOMAS,1,1
OUTENIEKWA,4,0
MENDIP,0,0
MESABI,1,0
MOORFOOT,1,0
OVERBERG,4,0
RONDEHEUWEL,2,0
SEINHEUWEL,3,0
SEDERBERG,1,0
SUIKERBEKKIE,5,1
SNIP,1,0
SPERWER,0,0
STEENLOPER,0,0
RIETSANGER,2,0
ROLLER,3,0
DE FAYEBOSCH,3,0
DE TUINE,1,0
OAK EAST,5,1
BLUE GUM,3,0
HONEYVALE,0,0
VOEGELVLEI,1,0
AVANTI ,5,0
ATLANTIS RANGE,5,0
AUGUST KOTZENBERG,1,0
JOHN ST LEGER,2,0
SAXONWOLD,2,0
KLEIN DASSENBERG,4,0
SIGUR,5,0
SHAWNEE,0,0
CYPRES,2,0
FERRYMAN,0,0
SAILOR,2,0
GRAS KLOKKIE,3,0
ARCTOTIS,3,0
BLOULELIE,11,0
KATJIEPIERING,2,1
KOETS,3,0
TRANS KAROO,11,1
WISTARIA,2,0
HOMERIA,8,0
ORGIDEE,11,0
AALWYN,1,0
WATERBOOM,4,0
POUBLOM,8,0
POPROOS,1,1
PAPIERBLOM,5,0
PAPKUIL,2,0
PATRYSBLOM,5,0
OUMAKAPPIE,2,1
NOORSDORING,6,0
PLATDORING,9,0
PRUIMBAS,1,0
VALSHEIDE,2,0
VELDVY,8,1
TEERUINTJIE,5,0
TONTEL,9,0
TREWWA,9,0
TOLLETJIE,8,0
COWLEY,5,0
BLETTERMAN,4,0
ELLESMERE,10,0
ECKARD,6,0
HANEKOM,3,0
PEDERSEN,1,1
SAMSON,6,0
ST VINCENT,7,0
SHEPHERD,10,0
WOLWEDANS,1,0
WAMAKERS,2,0
GRAINGER,3,1
PUDI,2,0
HOUTKAPPER,0,0
TAU,10,1
KANGAROO,11,0
MBONGOLO,7,0
RUSSELL,2,0
JUDITH,7,0
MBABALA,2,1
KGOMO,7,0
SEEKOEI,10,0
JAKALASHI,5,0
NKAWU,4,1
TAKANI,5,0
MAKOU,1,0
TAKBOK,7,0
QHWAHASHI,7,0
BHOKWE,1,0
OLIFANT,1,1
KATANA,10,0
QAQA,5,0
NKU,9,0
THOLE,3,0
TULBACH,10,0
JACOBI,5,0
HELSHOOGTE,11,0
VAN SCHOOR,8,1
REIJGER,9,0
DAVY,10,1
FOUCAULT,6,0
HUGHES,8,0
HOOKE,11,0
MORSE,7,0
TREBLE,5,0
ROSSINE,0,0
TENOR,10,0
SULLIVAN,10,0
CHANCELLOR,0,0
BACHELORS,9,0
DEGREE,9,0
EDUCATION,4,0
ACCORDIAN,7,0
CELLO,6,1
KERN ,11,0
HONORS,3,1
NABOOM,6,0
VARING,9,0
LUTE,10,0
GUITAR,1,0
CARUSO,9,0
DRUMMER,7,0
MANDOLIN,4,0
BANJO,4,0
FONTEYN,7,1
PIANO,10,1
MAHLER,3,0
ORGAN,0,0
FLUTE,8,1
CYMBAL,2,0
MANDARA,6,0
MOGOD,2,0
VIRUNGA,2,0
LEEU,8,0
TINGI,5,0
LANGE,3,0
BULEMBU,1,0
MALANJE,5,0
MARAVIA,5,0
MANANGA,5,1
MANDINGUE,7,0
MINA,1,0
MOROTO,12,0
MERU,7,0
SCHIPHOL,1,0
MOCA,2,0
COUGAR,6,1
COMMODORE,10,0
ANREITH,10,0
KOK,5,0
TRUMPET,10,0
TAMBOURINE,4,0
UKELELE,0,1
VIOLIN,11,0
POLKA,9,0
OPERA,12,0
OBOE,6,0
PICCOLO,1,0
TROMBONE,5,1
TUBA,11,0
KIES,5,0
DIE BRAAK,8,0
WITZENBURG,6,0
FROST,6,0
ROODEZAND,2,1
KANALA,3,0
PAPENDORF,1,0
NEDERLAND,8,0
COMBRINK,1,0
BEECHCRAFT,2,0
DELFT MAIN,4,1
VUURLELIE,10,0
VEERHEDE,9,1
AIRCO,3,0
AEROBAT,5,1
AMBASSADOR,4,0
DULLES,7,1
BLOCH,9,0
BERIEV,7,0
BERIEF,7,0
DWARSEIND,3,0
AYRE,1,0
BOBCAT,8,0
CANBERRA,6,0
BOOMERANG,1,0
CHEROKEE,4,1
RABIA PARK,5,0
FLUWEELTJIE,3,0
KOENA,7,0
DEAN ,2,0
GRADUATE,9,0
TECOMA PLACE,3,1
KERN,1,0
ORKES,2,1
HELICOPTER,2,0
UNTAMNYAMA,6,0
INTAKOBUSI,6,1
PETRONIA,9,1
BAT HAWK ,4,0
GREENFINCH,2,0
UNONGWEVANA,2,0
RHOS,11,1
STANLOU,5,0
THE WINERY ANNEX,13,1
DE LANGE,3,1
NAGENOEG,8,1
KRONKEL,3,0
KRIGE,2,0
1ST,9,0
AJ WEST,8,0
BOSTON PLACE,5,0
10TH,8,0
FRANS CONRADIE,1,0
17TH,14,0
JOOSTE,17,0
SONNY,14,0
KLEINDAL,1,0
ELAND PLACE,5,0
JIP DE JAGER,7,0
LOEVENSTEIN PARK,3,0
DE VIJGEN,2,0
THE SENTINEL,17,1
FRANSHOEK,10,0
UPPER KENRIDGE,16,0
BULAWAYO,15,0
HOUHOEK,14,0
BUFFELSHOEK,6,0
BRANDWAG,12,0
RESERVOIR,10,0
DURBELL,13,0
COLLETE,11,1
HANGKLIP,11,0
LIAANEL,3,0
HEERENZICHT ESTATE,4,0
BO VERWAGTING,6,0
MARIETT,4,0
CESTRUM,7,0
MOREDOU,0,0
AULAX,14,0
EVERSDAL,0,0
DURHEIM,16,1
EVERGLEN MANOR,2,0
SUNDALE,1,0
RICHELIEU,9,1
STEPPING STONES,0,0
ST MICHEL,2,0
SUMMER CLOUDS,16,0
BLUE DOLPHIN,2,0
BERGKRUINE,9,1
HEUWELKRUIN,3,0
NAVARRE,3,0
SCHABORT,17,0
KENRIDGE,14,0
DE BRON,14,0
MILDRED,8,0
DOOR DE KRAAL,3,0
WITBOOM,5,0
ALTYDGEDACHT,2,1
HOOGEKRAAL,15,1
KORTGEDACHT,16,0
LANGGEDACHT,13,0
ZAMBEZI,12,0
KUIPERSKRAAL,17,0
HOOGEBERG,10,0
WESTHOF,16,0
ROOZEBOOM,8,0
ONGEGUND,0,0
PHESANTEKRAAL,17,0
SIMONSIG,6,0
KANONBERG,17,0
WATERKLOOF,4,0
MAESTRICHT,2,0
MYNHARDT,15,0
VAN RIEBEECKSHOF,0,1
ONRUST,8,0
LOBENSTIJN,10,1
ARTILLERY,15,0
INFANTRY,1,0
SONGBIRD,2,1
UMTALI,11,0
LANDSKROON,10,1
BOSCHENDAL TERRACE,15,0
KOELENHOF,15,0
DELAIRE,1,0
MURATI,0,0
LA VERITAS ESTATE,6,0
MEERENHOF,13,0
AMANDEL CLOSE,6,0
FEATHERHEAD,8,0
MIDDELVLEI,1,1
CASALINO,8,1
BELLA RIA,15,0
TREBIANO,3,0
BOSCHENDAL MEWS,13,0
DE UITKIJK,4,0
STAPELIA,1,0
ROELLA,2,1
KLEIN WELGEDACHT,11,1
BUKETRAUBE,2,0
PINOT NOIR,8,0
SAUVIGNON BLANC,0,0
CHENIN BLANC,12,0
CABERNET SAUVIGNON,12,0
LA BRI,1,0
GAMAY,3,0
MONT BLANC,4,0
BOSCHENDAL ,15,0
BOSCHENDAL CLOSE,7,0
UITERWYK,15,0
SANTENAY,15,0
CINSAUT,4,0
PINOTAGE,6,0
COLOMBAR,6,0
VAN DER WALT,16,0
WELGEDACHT,1,0
THE REEDS,11,0
DIERAMA,5,0
ALBUCA,1,0
PHLOKS,3,1
KREUPELBOOM,6,0
BAARDSUIKERBOS,3,0
WITSUIKERBOS,11,1
ROOISUIKERKAN,6,0
MOUNTAIN ROSE,12,0
BLOUSUIKERBOS,14,0
SKEERKWAS,17,0
RANKSUIKERBOS,5,0
AARDROOS,3,0
EMBERS,6,0
SNOWBALL,3,0
BOTRIVIER,7,1
BOTTLEBRUSH,11,0
KLIPKERS,13,1
CHAVONNE,17,0
VAN DER HEIDEN,9,0
GROUND ROSE,15,0
TRICHARDT,1,1
PANDOER,8,0
KOMMISSARIS,5,0
NEDERBURGH,5,0
VAN JAARSVELD,16,0
VAN RIET,3,0
O`KULIS,14,0
GOEWERNEUR,14,0
CAMDEBO,1,0
POUSSION,4,0
BONSMA,7,0
SCHOTIA,15,0
BOSICA,0,0
LOEVEN TERRACE,12,0
ALLEN PLACE,7,0
BATES,5,0
KUDU,0,0
RHEBOK,1,0
HOHEIZEN,9,0
HUME,16,0
RETZIA,3,0
WELGEMOED GREENS,10,0
STURKE,4,0
VAN DER MERWE,4,0
WOLHUTER,5,1
BELLCANTO,16,1
KLIPSPRINGER,1,0
GEMSBOK,15,0
KOMMANDEUR,8,0
ANDRAG,0,0
SLUYSKENS,13,0
WATERFRONT,7,0
CARL CRONJE,10,1
BILL BEZUIDENHOUT,17,0
TYGER FALLS,15,0
BRIDAL,4,0
NIAGARA,16,1
QUELLERIE,5,0
SIMOND,14,0
SCHMIDT,16,0
CLAASSEN,3,1
COMPAGNIE,14,0
WELGEMOED GOLF ESTATE,16,0
WELGEMOED,8,0
WYLANT,6,0
PERDEBOS,3,0
PINCUSHION,4,1
SKAAMROSIE,9,1
NORDENFELDT,3,0
KRUPP,14,1
JORGENSENS,2,0
CREUSOT,17,0
CAMERONIANS,8,0
TYGERVALLEY CENTRE SERVICE,2,1
OLD OAK,2,0
DENHUME,15,0
PASITA,5,0
ALF,8,0
KALMEN,8,0
SARESTA,0,0
SOSHANNA,12,0
ANDREA,2,0
BATYA,16,1
EVAN,7,0
WOOLF,15,0
ZALMAN,16,0
ALISON,7,0
BELLA ROSA,13,0
MELINA,6,0
DUET,12,0
PASCALI,1,0
LORELEI,1,0
NOELINE,6,0
UNDINE,14,0
GILLIAN,17,0
CAROL,13,0
MEILAND PARK,15,0
NORITA,10,0
LYNNE,2,0
HILARY,8,0
ZORINA,3,0
ASHLEE,1,0
SANDSTEEN,1,1
DEL AIRE,6,0
TACOMA,4,0
MORESTER,12,0
DANENA,10,0
ROGERS,3,0
O`KENNEDY,1,0
TWIST,4,0
BATELEUR OFFICE,10,0
SUNBIRD OFFICE,7,1
EDMAR,17,0
WILLIE VAN SCHOOR,9,1
RIDGEWORTH,11,0
BONNE ESPERANCE,2,1
SPORTICA,2,0
RUST-EN-VREDE,9,0
BELLVILLE CRICKET SPORTS GROUND,1,0
DE OUDE ZICHT,7,0
DEO VOLENTE,5,0
RHEAZICHT,11,1
BUENO VISTA,16,0
PINEWAY,17,0
KORINGBLOM,15,0
KAPPERTJIE,14,0
EDWARD LOTERY,4,0
PAPAWER,11,0
KAMILLE,8,1
MOOIGEZICHT,12,0
NOORD,17,0
ST  ANDREWS,8,0
BINNEMAN,7,0
SANDFORD,12,1
POSTMA,9,0
JOHN X  MERRIMAN,6,0
HAVENGA,16,0
MISPEL,1,0
A D KEET,17,0
XAVIER,2,0
UPPER LINCOLN,1,0
VAN NIEKERK,4,0
MEATH,12,0
DRIEHOEK,9,0
RATHMINE,4,0
ASHTOWN,11,0
HUGENOOT,15,0
LOUWVILLE,11,1
KEMPEN,3,0
KEMPEN VILLAS,17,0
ST  GEORGES,0,0
RETIEF,16,1
MÃ”RESON,3,0
CALVYN,9,0
HILDEBRAND,15,0
CORNWELL,3,0
RATHGAR,15,0
PRESIDENT,17,0
JESSIE,3,0
KATHLEEN,7,0
LAETITIA,5,0
DENISE,7,1
DOROTHY,9,0
FEINAUER,5,0
BETSY,17,0
CHRISMAR,15,0
POCOCK,14,0
LAURINDA,5,1
OLD PAARL,8,1
MELLISH,8,0
VERMEER,2,1
REYNOLDS,17,0
TURNER,8,0
PETRUSA,12,0
LEIPOLDT,0,0
CONSTABLE,2,0
MIEKENHOF,13,0
VAN DYCK,5,0
QUARRY,16,1
VAN EYCK,17,1
VOLSCHENK,15,0
EL CHANTE,2,0
OMNIA,12,0
PARATUS,15,0
PEPERDRUIF,5,0
DOUGLAS CARR,12,0
KOKERBOOM,14,0
GANZEKRAAL,9,0
HARROD,8,1
BLOEMBOSCH,11,0
DROSDY,3,0
HOOGSTEDE,8,0
WEMMERSHOEK,0,0
GRASSRIDGE,11,0
KOUGA,1,0
KOPPIES,3,1
BRANDVLEI,1,1
PONGOLA,17,0
THEEWATER,11,0
SIAS SNYMAN,16,0
DE WILGER,14,0
SALFORD,12,1
MALIBU,11,0
MINT,17,0
BELLBUSK,15,0
LANZERAC,6,0
VERHEUL,13,1
LA ROCHE,16,0
HOVE VILLAS,5,0
ONVERWACHT,16,0
SALFORD PARK,8,0
BOURGOGNE,4,0
SPOLANDER,6,0
KORAALBOOM,12,0
DEON OLCKERS,10,0
LA DOMAINE,14,0
ERICA VILLAS,12,0
TIERHOUT,7,0
BLOUKEUR,5,1
CAROLS PLACE,0,0
VAUGHAN,7,0
MADELIEF,8,0
RIDDERSPOOR,12,0
PARYS,2,0
LA CHAMPAGNE,6,0
BRETAGNE,4,0
FRANSCHHOEK,6,0
LAUSANNE,15,0
VILLETTE,14,0
WYOMING,5,1
GEORGIA,0,0
ALASKA,16,1
IOWA,1,0
AMETHYST,0,0
NEBRASKA,9,0
ILLINOIS,9,1
BARTHOLOMEUS,4,0
YPRES,5,0
GRABOUW,4,0
ROCHEFORT,13,0
ROUGEMONT,1,0
ROUXVILLE,14,0
GLEN IVE,5,1
CLOVE,16,1
SAASVELD VILLAS,1,0
KELKIEWYN,11,0
DE OUDEWIJN,13,1
RAPHAEL,3,0
OU MUTUAL,7,1
SWARTBERG,12,0
