Map level of detail,Crime Category,Totals and new cats,First aggragation,Incidents values,Date,Crime category selection,Station
Mondeor,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,282,01/01/2023,Total property-related crime,MONDEOR
Booysens,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,285,01/01/2023,Total property-related crime,BOOYSENS
Moroka,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,201,01/01/2023,Total property-related crime,MOROKA
Moffatview,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,159,01/01/2023,Total property-related crime,MOFFATVIEW
Brakpan,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,149,01/01/2023,Total property-related crime,BRAKPAN
Bronkhorstspruit,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,110,01/01/2023,Total property-related crime,BRONKHORSTSPRUIT
Mamelodi East,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,142,01/01/2023,Total property-related crime,MAMELODI EAST
Mamelodi,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,95,01/01/2023,Total property-related crime,MAMELODI
Brixton,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,232,01/01/2023,Total property-related crime,BRIXTON
Brackendowns,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,156,01/01/2023,Total property-related crime,BRACKENDOWNS
Bramley,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,156,01/01/2023,Total property-related crime,BRAMLEY
Bedfordview,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,119,01/01/2023,Total property-related crime,BEDFORDVIEW
Alexandra,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,145,01/01/2023,Total property-related crime,ALEXANDRA
Mabopane,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,96,01/01/2023,Total property-related crime,MABOPANE
Boschkop,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,107,01/01/2023,Total property-related crime,BOSCHKOP
Atteridgeville,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,149,01/01/2023,Total property-related crime,ATTERIDGEVILLE
Meadowlands,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,151,01/01/2023,Total property-related crime,MEADOWLANDS
Actonville,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,43,01/01/2023,Total property-related crime,ACTONVILLE
Meyerton,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,48,01/01/2023,Total property-related crime,MEYERTON
Bekkersdal,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,19,01/01/2023,Total property-related crime,BEKKERSDAL
Boipatong,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,14,01/01/2023,Total property-related crime,BOIPATONG
Magaliesburg,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,20,01/01/2023,Total property-related crime,MAGALIESBURG
Pretoria Central,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,941,01/01/2023,Total property-related crime,PRETORIA CENTRAL
Wierdabrug,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,457,01/01/2023,Total property-related crime,WIERDABRUG
Sandton,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,355,01/01/2023,Total property-related crime,SANDTON
Silverton,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,367,01/01/2023,Total property-related crime,SILVERTON
Randburg,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,382,01/01/2023,Total property-related crime,RANDBURG
Pretoria West,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,365,01/01/2023,Total property-related crime,PRETORIA WEST
Roodepoort,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,421,01/01/2023,Total property-related crime,ROODEPOORT
Randfontein,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,268,01/01/2023,Total property-related crime,RANDFONTEIN
Sinoville,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,227,01/01/2023,Total property-related crime,SINOVILLE
Yeoville,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,191,01/01/2023,Total property-related crime,YEOVILLE
Ivory Park,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,209,01/01/2023,Total property-related crime,IVORY PARK
Pretoria North,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,221,01/01/2023,Total property-related crime,PRETORIA NORTH
Springs,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,220,01/01/2023,Total property-related crime,SPRINGS
Protea,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,203,01/01/2023,Total property-related crime,PROTEA
Vanderbijlpark,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,166,01/01/2023,Total property-related crime,VANDERBIJLPARK
Sophia Town,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,165,01/01/2023,Total property-related crime,SOPHIA TOWN
Vereeniging,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,137,01/01/2023,Total property-related crime,VEREENIGING
Pretoria Moot,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,133,01/01/2023,Total property-related crime,PRETORIA MOOT
Soshanguve,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,211,01/01/2023,Total property-related crime,SOSHANGUVE
Rabie Ridge,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,122,01/01/2023,Total property-related crime,RABIE RIDGE
Villieria,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,183,01/01/2023,Total property-related crime,VILLIERIA
Rosebank,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,131,01/01/2023,Total property-related crime,ROSEBANK
Vosloorus,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,90,01/01/2023,Total property-related crime,VOSLOORUS
Jabulani,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,108,01/01/2023,Total property-related crime,JABULANI
Sandringham,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,127,01/01/2023,Total property-related crime,SANDRINGHAM
Primrose,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,109,01/01/2023,Total property-related crime,PRIMROSE
Wonderboompoort,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,85,01/01/2023,Total property-related crime,WONDERBOOMPOORT
Sebenza,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,124,01/01/2023,Total property-related crime,SEBENZA
Rietgat,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,99,01/01/2023,Total property-related crime,RIETGAT
Welbekend,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,39,01/01/2023,Total property-related crime,WELBEKEND
Sharpeville,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,43,01/01/2023,Total property-related crime,SHARPEVILLE
Sebokeng,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,53,01/01/2023,Total property-related crime,SEBOKENG
Westonaria,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,29,01/01/2023,Total property-related crime,WESTONARIA
Putfontein,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,31,01/01/2023,Total property-related crime,PUTFONTEIN
Reigerpark,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,51,01/01/2023,Total property-related crime,REIGERPARK
Zonkizizwe,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,16,01/01/2023,Total property-related crime,ZONKIZIZWE
Ratanda,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,21,01/01/2023,Total property-related crime,RATANDA
Wedela,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,10,01/01/2023,Total property-related crime,WEDELA
Vaal Marina,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,2,01/01/2023,Total property-related crime,VAAL MARINA
Kempton Park,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,685,01/01/2023,Total property-related crime,KEMPTON PARK
Jhb Central,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,780,01/01/2023,Total property-related crime,JHB CENTRAL
Linden,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,335,01/01/2023,Total property-related crime,LINDEN
Olievenhoutbosch,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,250,01/01/2023,Total property-related crime,OLIEVENHOUTBOSCH
Krugersdorp,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,292,01/01/2023,Total property-related crime,KRUGERSDORP
Norkempark,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,134,01/01/2023,Total property-related crime,NORKEMPARK
Parkview,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,252,01/01/2023,Total property-related crime,PARKVIEW
Jeppe,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,228,01/01/2023,Total property-related crime,JEPPE
Olifantsfontein,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,118,01/01/2023,Total property-related crime,OLIFANTSFONTEIN
Kagiso,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,103,01/01/2023,Total property-related crime,KAGISO
Lenasia,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,107,01/01/2023,Total property-related crime,LENASIA
Norwood,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,191,01/01/2023,Total property-related crime,NORWOOD
Orlando,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,80,01/01/2023,Total property-related crime,ORLANDO
Kliptown,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,92,01/01/2023,Total property-related crime,KLIPTOWN
Katlehong,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,96,01/01/2023,Total property-related crime,KATLEHONG
Langlaagte,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,63,01/01/2023,Total property-related crime,LANGLAAGTE
Kwa Thema,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,44,01/01/2023,Total property-related crime,KWA THEMA
Orange Farms,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,70,01/01/2023,Total property-related crime,ORANGE FARMS
Naledi,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,48,01/01/2023,Total property-related crime,NALEDI
Nigel,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,55,01/01/2023,Total property-related crime,NIGEL
Laudium,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,30,01/01/2023,Total property-related crime,LAUDIUM
Lenasia South,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,48,01/01/2023,Total property-related crime,LENASIA SOUTH
Muldersdrift,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,61,01/01/2023,Total property-related crime,MULDERSDRIFT
Loate,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,52,01/01/2023,Total property-related crime,LOATE
Kameeldrift,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,75,01/01/2023,Total property-related crime,KAMEELDRIFT
Kliprivier,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,67,01/01/2023,Total property-related crime,KLIPRIVIER
Katlehong North,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,28,01/01/2023,Total property-related crime,KATLEHONG NORTH
Khutsong,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,34,01/01/2023,Total property-related crime,KHUTSONG
Or Tambo Intern Airp,Theft out of or from motor vehicle,Total property-related crime,Total property-related crime,30,01/01/2023,Total property-related crime,OR TAMBO INTERN AIRP
Sunnyside,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,SUNNYSIDE
Tarlton,Stock-Theft,Total property-related crime,Total property-related crime,30,01/01/2023,Total property-related crime,TARLTON
Temba,Stock-Theft,Total property-related crime,Total property-related crime,75,01/01/2023,Total property-related crime,TEMBA
Tembisa,Stock-Theft,Total property-related crime,Total property-related crime,1,01/01/2023,Total property-related crime,TEMBISA
Tembisa South,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,TEMBISA SOUTH
The Barrage,Stock-Theft,Total property-related crime,Total property-related crime,32,01/01/2023,Total property-related crime,THE BARRAGE
Tokoza,Stock-Theft,Total property-related crime,Total property-related crime,1,01/01/2023,Total property-related crime,TOKOZA
Tsakane,Stock-Theft,Total property-related crime,Total property-related crime,11,01/01/2023,Total property-related crime,TSAKANE
Cosmo City,Stock-theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,COSMO CITY
Hammanskraal,Stock-Theft,Total property-related crime,Total property-related crime,47,01/01/2023,Total property-related crime,HAMMANSKRAAL
Dube,Stock-Theft,Total property-related crime,Total property-related crime,27,01/01/2023,Total property-related crime,DUBE
De Deur,Stock-Theft,Total property-related crime,Total property-related crime,32,01/01/2023,Total property-related crime,DE DEUR
Fochville,Stock-Theft,Total property-related crime,Total property-related crime,41,01/01/2023,Total property-related crime,FOCHVILLE
Cullinan,Stock-Theft,Total property-related crime,Total property-related crime,42,01/01/2023,Total property-related crime,CULLINAN
Hercules,Stock-Theft,Total property-related crime,Total property-related crime,14,01/01/2023,Total property-related crime,HERCULES
Devon,Stock-Theft,Total property-related crime,Total property-related crime,9,01/01/2023,Total property-related crime,DEVON
Carletonville,Stock-Theft,Total property-related crime,Total property-related crime,20,01/01/2023,Total property-related crime,CARLETONVILLE
Hekpoort,Stock-Theft,Total property-related crime,Total property-related crime,27,01/01/2023,Total property-related crime,HEKPOORT
Heidelberg (Gp),Stock-Theft,Total property-related crime,Total property-related crime,21,01/01/2023,Total property-related crime,HEIDELBERG (GP)
Ekangala,Stock-Theft,Total property-related crime,Total property-related crime,13,01/01/2023,Total property-related crime,EKANGALA
Duduza,Stock-Theft,Total property-related crime,Total property-related crime,7,01/01/2023,Total property-related crime,DUDUZA
Erasmia,Stock-Theft,Total property-related crime,Total property-related crime,5,01/01/2023,Total property-related crime,ERASMIA
Dawn Park,Stock-Theft,Total property-related crime,Total property-related crime,7,01/01/2023,Total property-related crime,DAWN PARK
Ennerdale,Stock-Theft,Total property-related crime,Total property-related crime,2,01/01/2023,Total property-related crime,ENNERDALE
Ga-Rankuwa,Stock-Theft,Total property-related crime,Total property-related crime,4,01/01/2023,Total property-related crime,GA-RANKUWA
Evaton,Stock-Theft,Total property-related crime,Total property-related crime,7,01/01/2023,Total property-related crime,EVATON
Elsburg,Stock-Theft,Total property-related crime,Total property-related crime,1,01/01/2023,Total property-related crime,ELSBURG
Crystalpark,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,CRYSTALPARK
Edenpark,Stock-Theft,Total property-related crime,Total property-related crime,3,01/01/2023,Total property-related crime,EDENPARK
Etwatwa,Stock-Theft,Total property-related crime,Total property-related crime,2,01/01/2023,Total property-related crime,ETWATWA
Eldorado Park,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,ELDORADO PARK
Daveyton,Stock-Theft,Total property-related crime,Total property-related crime,2,01/01/2023,Total property-related crime,DAVEYTON
Diepsloot,Stock-Theft,Total property-related crime,Total property-related crime,8,01/01/2023,Total property-related crime,DIEPSLOOT
Honeydew,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,HONEYDEW
Douglasdale,Stock-Theft,Total property-related crime,Total property-related crime,1,01/01/2023,Total property-related crime,DOUGLASDALE
Dunnottar,Stock-Theft,Total property-related crime,Total property-related crime,3,01/01/2023,Total property-related crime,DUNNOTTAR
Hillbrow,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,HILLBROW
Germiston,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,GERMISTON
Garsfontein,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,GARSFONTEIN
Fairland,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,FAIRLAND
Eersterust,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,EERSTERUST
Edenvale,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,EDENVALE
Cleveland,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,CLEVELAND
Dobsonville,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,DOBSONVILLE
Diepkloof,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,DIEPKLOOF
Florida,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,FLORIDA
Doornkop,Stock-theft,Total property-related crime,Total property-related crime,4,01/01/2023,Total property-related crime,DOORNKOP
Bronkhorstspruit,Stock-Theft,Total property-related crime,Total property-related crime,71,01/01/2023,Total property-related crime,BRONKHORSTSPRUIT
Meyerton,Stock-Theft,Total property-related crime,Total property-related crime,29,01/01/2023,Total property-related crime,MEYERTON
Magaliesburg,Stock-Theft,Total property-related crime,Total property-related crime,23,01/01/2023,Total property-related crime,MAGALIESBURG
Bekkersdal,Stock-Theft,Total property-related crime,Total property-related crime,14,01/01/2023,Total property-related crime,BEKKERSDAL
Akasia,Stock-Theft,Total property-related crime,Total property-related crime,16,01/01/2023,Total property-related crime,AKASIA
Boschkop,Stock-Theft,Total property-related crime,Total property-related crime,7,01/01/2023,Total property-related crime,BOSCHKOP
Brakpan,Stock-Theft,Total property-related crime,Total property-related crime,5,01/01/2023,Total property-related crime,BRAKPAN
Midrand,Stock-Theft,Total property-related crime,Total property-related crime,2,01/01/2023,Total property-related crime,MIDRAND
Mamelodi East,Stock-Theft,Total property-related crime,Total property-related crime,1,01/01/2023,Total property-related crime,MAMELODI EAST
Mabopane,Stock-Theft,Total property-related crime,Total property-related crime,8,01/01/2023,Total property-related crime,MABOPANE
Mondeor,Stock-Theft,Total property-related crime,Total property-related crime,2,01/01/2023,Total property-related crime,MONDEOR
Atteridgeville,Stock-Theft,Total property-related crime,Total property-related crime,1,01/01/2023,Total property-related crime,ATTERIDGEVILLE
Boipatong,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,BOIPATONG
Mamelodi,Stock-Theft,Total property-related crime,Total property-related crime,5,01/01/2023,Total property-related crime,MAMELODI
Benoni,Stock-Theft,Total property-related crime,Total property-related crime,3,01/01/2023,Total property-related crime,BENONI
Lyttelton,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,LYTTELTON
Meadowlands,Stock-Theft,Total property-related crime,Total property-related crime,3,01/01/2023,Total property-related crime,MEADOWLANDS
Moroka,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,MOROKA
Moffatview,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,MOFFATVIEW
Brooklyn,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,BROOKLYN
Brixton,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,BRIXTON
Bramley,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,BRAMLEY
Brackendowns,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,BRACKENDOWNS
Booysens,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,BOOYSENS
Boksburg,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,BOKSBURG
Boksburg North,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,BOKSBURG NORTH
Bedfordview,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,BEDFORDVIEW
Alexandra,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,ALEXANDRA
Alberton,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,ALBERTON
Actonville,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,ACTONVILLE
Randfontein,Stock-Theft,Total property-related crime,Total property-related crime,63,01/01/2023,Total property-related crime,RANDFONTEIN
Welbekend,Stock-Theft,Total property-related crime,Total property-related crime,30,01/01/2023,Total property-related crime,WELBEKEND
Westonaria,Stock-Theft,Total property-related crime,Total property-related crime,18,01/01/2023,Total property-related crime,WESTONARIA
Pretoria North,Stock-Theft,Total property-related crime,Total property-related crime,26,01/01/2023,Total property-related crime,PRETORIA NORTH
Vereeniging,Stock-Theft,Total property-related crime,Total property-related crime,39,01/01/2023,Total property-related crime,VEREENIGING
Springs,Stock-Theft,Total property-related crime,Total property-related crime,19,01/01/2023,Total property-related crime,SPRINGS
Vanderbijlpark,Stock-Theft,Total property-related crime,Total property-related crime,6,01/01/2023,Total property-related crime,VANDERBIJLPARK
Zonkizizwe,Stock-Theft,Total property-related crime,Total property-related crime,5,01/01/2023,Total property-related crime,ZONKIZIZWE
Ratanda,Stock-Theft,Total property-related crime,Total property-related crime,8,01/01/2023,Total property-related crime,RATANDA
Putfontein,Stock-Theft,Total property-related crime,Total property-related crime,5,01/01/2023,Total property-related crime,PUTFONTEIN
